Index,Window size,RMSE,tc
0,10,0.045283717,632.0921527
1,11,0.045358693,633.8219533
2,12,0.045258871,629
3,13,0.031575232,419.3009609
4,14,0.031173921,443.2591953
5,15,0.045259097,581.2
6,16,0.040111186,1116.912594
7,17,0.043571571,1124.166667
8,18,0.036107753,1419.781409
9,19,0.035993632,1409.9
10,20,0.036218574,1409.9
11,21,0.038593598,1412.505935
12,22,0.036102939,1409.9
13,23,0.036433186,1409.9
14,24,0.03641395,1409.9
15,25,0.036377441,1409.9
16,26,0.036014071,1421.889747
17,27,0.036345143,1421.049544
18,28,0.036884274,1482.520988
19,29,0.036070921,1409.9
20,30,0.036183016,1413.792909
21,31,0.036259476,1415.561239
22,32,0.036138998,1409.9
23,33,0.037118627,1409.9
